Title,Price,Rating,ASIN,URL,Reviews,Category,Page
TCL 108 cm (43 inches) 4K Ultra HD Smart QLED Google TV 43C655 (Black),"₹27,990",3.9,B0CZLKK544,https://www.amazon.in/TCL-inches-Ultra-Google-43C655/dp/B0CZLKK544/ref=sr_1_158?dib=eyJ2IjoiMSJ9.4r0oTMQXLhFpIPqT4gm8wZpZBwbst5cdzV-VWUfAc3puL4x109G-hvBrKntcEpsehZ13TIsN00blymdywvShhQCdaEGmtA9dpvlI9mrkXWDy7Q8AVplxQIbigbJqg0bcg28onRtDjJhq4pTcvnjNqO6xyNUWv4JQke3yJ3VG_TaDJolR6mrGPzjHAFFjOfdmnmhsV-V5e4r_z0AvnWI2WbZ-3ko8c_Dy3GK3VhaJMWw.2Zza49SFcGBTUjn-j0k_tLhE6vsV5ZxghTj_0erWVs4&dib_tag=se&keywords=smart+tv&qid=1747131362&sr=8-158,N/A,smart tv,10
ONIDA 108 cm (43 inches) Nexg Series 4K Ultra HD Smart Google LED TV 43UZI,"₹24,999",4.2,B0DS23P92M,https://www.amazon.in/ONIDA-inches-Ultra-Smart-Google/dp/B0DS23P92M/ref=sr_1_159?dib=eyJ2IjoiMSJ9.4r0oTMQXLhFpIPqT4gm8wZpZBwbst5cdzV-VWUfAc3puL4x109G-hvBrKntcEpsehZ13TIsN00blymdywvShhQCdaEGmtA9dpvlI9mrkXWDy7Q8AVplxQIbigbJqg0bcg28onRtDjJhq4pTcvnjNqO6xyNUWv4JQke3yJ3VG_TaDJolR6mrGPzjHAFFjOfdmnmhsV-V5e4r_z0AvnWI2WbZ-3ko8c_Dy3GK3VhaJMWw.2Zza49SFcGBTUjn-j0k_tLhE6vsV5ZxghTj_0erWVs4&dib_tag=se&keywords=smart+tv&qid=1747131362&sr=8-159,N/A,smart tv,10
TOSHIBA 189 cm (75 inches) C350NP Series 4K Ultra HD Smart LED Google TV 75C350NP (Black),"₹75,999",4.1,B0D3X9KHNB,https://www.amazon.in/TOSHIBA-inches-C350NP-Google-75C350NP/dp/B0D3X9KHNB/ref=sr_1_160?dib=eyJ2IjoiMSJ9.4r0oTMQXLhFpIPqT4gm8wZpZBwbst5cdzV-VWUfAc3puL4x109G-hvBrKntcEpsehZ13TIsN00blymdywvShhQCdaEGmtA9dpvlI9mrkXWDy7Q8AVplxQIbigbJqg0bcg28onRtDjJhq4pTcvnjNqO6xyNUWv4JQke3yJ3VG_TaDJolR6mrGPzjHAFFjOfdmnmhsV-V5e4r_z0AvnWI2WbZ-3ko8c_Dy3GK3VhaJMWw.2Zza49SFcGBTUjn-j0k_tLhE6vsV5ZxghTj_0erWVs4&dib_tag=se&keywords=smart+tv&qid=1747131362&sr=8-160,N/A,smart tv,10
TCL 164 cm (65 inches) Metallic Bezel-Less Series 4K Ultra HD Smart LED Google TV 65V6B (Black),N/A,3.8,B0CZ6VXCBN,https://www.amazon.in/TCL-inches-Metallic-Bezel-Less-65V6B/dp/B0CZ6VXCBN/ref=sr_1_147?dib=eyJ2IjoiMSJ9.4r0oTMQXLhFpIPqT4gm8wZpZBwbst5cdzV-VWUfAc3puL4x109G-hvBrKntcEpsehZ13TIsN00blymdywvShhQCdaEGmtA9dpvlI9mrkXWDy7Q8AVplxQIbigbJqg0bcg28onRtDjJhq4pTcvnjNqO6xyNUWv4JQke3yJ3VG_TaDJolR6mrGPzjHAFFjOfdmnmhsV-V5e4r_z0AvnWI2WbZ-3ko8c_Dy3GK3VhaJMWw.2Zza49SFcGBTUjn-j0k_tLhE6vsV5ZxghTj_0erWVs4&dib_tag=se&keywords=smart+tv&qid=1747131362&sr=8-147,No reviews found,smart tv,10
Samsung 138 cm (55 inches) D Series Brighter Crystal 4K Dynamic Ultra HD Smart LED TV UA55DUE80AKLXL (Titan Gray),"₹52,990",3.9,B0D9P28RCV,https://www.amazon.in/Samsung-Brighter-Crystal-Dynamic-UA55DUE80AKLXL/dp/B0D9P28RCV/ref=sr_1_151?dib=eyJ2IjoiMSJ9.4r0oTMQXLhFpIPqT4gm8wZpZBwbst5cdzV-VWUfAc3puL4x109G-hvBrKntcEpsehZ13TIsN00blymdywvShhQCdaEGmtA9dpvlI9mrkXWDy7Q8AVplxQIbigbJqg0bcg28onRtDjJhq4pTcvnjNqO6xyNUWv4JQke3yJ3VG_TaDJolR6mrGPzjHAFFjOfdmnmhsV-V5e4r_z0AvnWI2WbZ-3ko8c_Dy3GK3VhaJMWw.2Zza49SFcGBTUjn-j0k_tLhE6vsV5ZxghTj_0erWVs4&dib_tag=se&keywords=smart+tv&qid=1747131362&sr=8-151,No reviews found,smart tv,10
TCL 139 cm (55 inches) 4K Ultra HD Smart QLED Google TV 55C655 (Black),"₹40,990",3.9,B0CZLHWXKB,https://www.amazon.in/TCL-inches-Ultra-Google-55C655/dp/B0CZLHWXKB/ref=sr_1_146?dib=eyJ2IjoiMSJ9.4r0oTMQXLhFpIPqT4gm8wZpZBwbst5cdzV-VWUfAc3puL4x109G-hvBrKntcEpsehZ13TIsN00blymdywvShhQCdaEGmtA9dpvlI9mrkXWDy7Q8AVplxQIbigbJqg0bcg28onRtDjJhq4pTcvnjNqO6xyNUWv4JQke3yJ3VG_TaDJolR6mrGPzjHAFFjOfdmnmhsV-V5e4r_z0AvnWI2WbZ-3ko8c_Dy3GK3VhaJMWw.2Zza49SFcGBTUjn-j0k_tLhE6vsV5ZxghTj_0erWVs4&dib_tag=se&keywords=smart+tv&qid=1747131362&sr=8-146,No reviews found,smart tv,10
Anycast Wireless WiFi 1080P HDMI Display TV Dongle Receiver Black,"₹1,300",3.7,B07SG3ZT9L,https://www.amazon.in/Anycast-Wireless-Display-Receiver-Supports/dp/B07SG3ZT9L/ref=sr_1_225?dib=eyJ2IjoiMSJ9.Q38NsWqeI16-9FUjP2VFWZIZWBYiEQKbLyqqRRvuKDJp_Q4GQkjO3QJ8zzVvYdaoq1SqaBEBqJDjrQIyUI-77hGAPl2mVRqipDTRigoG9-3DNf2lM_DgcWQwr9ia17YwjPVAhHhqTIqmR9YZrOrkCnBseWFzXBxp9_XQo48gmntBXfMimeGdxoet48j84Zv04R8Qh4HdJOhws264NlDvYL_5TlWfAnuGYEBK-C0uM94.nbqUPaZbcwB9FdurxeoZ0PiRnT69i2PliVxr9D3SPY8&dib_tag=se&keywords=smart+tv&qid=1747131363&sr=8-225,N/A,smart tv,15
"LG MR22GN Remote Control, Magic Remote for LG TV Models 2021/2022, Built-In Microphone, Compatible with Alexa and Google, Black","₹2,699",4.6,B0B5FFWP63,https://www.amazon.in/LG-MR22GN-Control-Microphone-Compatible/dp/B0B5FFWP63/ref=sr_1_226?dib=eyJ2IjoiMSJ9.Q38NsWqeI16-9FUjP2VFWZIZWBYiEQKbLyqqRRvuKDJp_Q4GQkjO3QJ8zzVvYdaoq1SqaBEBqJDjrQIyUI-77hGAPl2mVRqipDTRigoG9-3DNf2lM_DgcWQwr9ia17YwjPVAhHhqTIqmR9YZrOrkCnBseWFzXBxp9_XQo48gmntBXfMimeGdxoet48j84Zv04R8Qh4HdJOhws264NlDvYL_5TlWfAnuGYEBK-C0uM94.nbqUPaZbcwB9FdurxeoZ0PiRnT69i2PliVxr9D3SPY8&dib_tag=se&keywords=smart+tv&qid=1747131363&sr=8-226,N/A,smart tv,15
"QUBO 10A Wifi + BT Smart Plug from Hero Group, Energy Monitoring, Suitable for small devices like TVs, Air Purifiers, Mobile & Laptop Chargers (Voice Control with Amazon Alexa and Google Assistant)",₹749,3.9,B0BRQBHTTF,https://www.amazon.in/Monitoring-Suitable-Purifiers-Chargers-Assistant/dp/B0BRQBHTTF/ref=sr_1_228?dib=eyJ2IjoiMSJ9.Q38NsWqeI16-9FUjP2VFWZIZWBYiEQKbLyqqRRvuKDJp_Q4GQkjO3QJ8zzVvYdaoq1SqaBEBqJDjrQIyUI-77hGAPl2mVRqipDTRigoG9-3DNf2lM_DgcWQwr9ia17YwjPVAhHhqTIqmR9YZrOrkCnBseWFzXBxp9_XQo48gmntBXfMimeGdxoet48j84Zv04R8Qh4HdJOhws264NlDvYL_5TlWfAnuGYEBK-C0uM94.nbqUPaZbcwB9FdurxeoZ0PiRnT69i2PliVxr9D3SPY8&dib_tag=se&keywords=smart+tv&qid=1747131363&sr=8-228,N/A,smart tv,15
"V-Guard Crystal Plus Smart TV Stabilizer with Digital Display for 140 cm (55"") TV + Set Top Box + Home Theatre System/Gaming Console (Working Range: 90-290 VAC; 3 A)","₹3,833",4.4,B0724ZQDYX,https://www.amazon.in/V-Guard-Stabilizer-Crystal-Plus-Smart/dp/B0724ZQDYX/ref=sr_1_227?dib=eyJ2IjoiMSJ9.Q38NsWqeI16-9FUjP2VFWZIZWBYiEQKbLyqqRRvuKDJp_Q4GQkjO3QJ8zzVvYdaoq1SqaBEBqJDjrQIyUI-77hGAPl2mVRqipDTRigoG9-3DNf2lM_DgcWQwr9ia17YwjPVAhHhqTIqmR9YZrOrkCnBseWFzXBxp9_XQo48gmntBXfMimeGdxoet48j84Zv04R8Qh4HdJOhws264NlDvYL_5TlWfAnuGYEBK-C0uM94.nbqUPaZbcwB9FdurxeoZ0PiRnT69i2PliVxr9D3SPY8&dib_tag=se&keywords=smart+tv&qid=1747131363&sr=8-227,N/A,smart tv,15
